channel,freq_hz,n_day,n_night,t_stat,p_value,power
39,79.0,17,14,2.422785638831736,0.022932685368562522,0.6002353675996182
60,67.0,17,14,2.490086454035577,0.022939862773257713,0.5936043730579874
49,48.0,17,14,2.4298556108840272,0.02309424625860161,0.5961584495612098
49,49.0,17,14,2.426983529355587,0.02312910178972226,0.5964352308016926
2,44.0,17,14,2.4916679608849766,0.02316229794888452,0.592229123017733
60,46.0,17,14,2.497092814264172,0.023246541226362678,0.5919664424216431
31,35.0,17,14,2.47697282742406,0.023264130317184002,0.5911414309122944
49,55.0,17,14,2.4191885027003446,0.023284837827563642,0.5966931425324022
17,43.0,17,14,2.4252080541891368,0.023364513693138373,0.5941474273510321
2,43.0,17,14,2.4875896732443796,0.023366070613377404,0.5907796727357087
31,45.0,17,14,2.4868491474217302,0.02336663800307846,0.5907462791446665
2,45.0,17,14,2.4866002424180573,0.02337328630351179,0.590694580353858
60,61.0,17,14,2.4786929813443592,0.023406686024556762,0.5902247061046256
60,68.0,17,14,2.4795132624963387,0.023493700146005204,0.5896809878264593
49,50.0,17,14,2.416644870465137,0.023539361096399036,0.5942440964040061
17,48.0,17,14,2.4405468134272694,0.023583978379089095,0.5897873032943846
28,55.0,17,14,2.426140251066399,0.023616714370949844,0.5912826828505464
49,47.0,17,14,2.4202121414179696,0.02367189477311551,0.5918361041999411
44,44.0,17,14,2.4474574078961475,0.02377607278747935,0.5877872296772486
2,42.0,17,14,2.476719595671782,0.023879798965179402,0.5871425509064145
49,65.0,17,14,2.4107145245558943,0.023947481862387657,0.590971251275558
44,62.0,17,14,2.414653290015282,0.024012308895828234,0.589330409885046
2,46.0,17,14,2.4705511488490606,0.02410294227762373,0.5855290802776949
49,51.0,17,14,2.403740931625673,0.02410754401863943,0.5910366447010007
60,60.0,17,14,2.4645318603502306,0.02413396695107298,0.5851577144733102
60,69.0,17,14,2.4653791426997747,0.024234463163373247,0.5845399461359676
31,34.0,17,14,2.453050659676715,0.024277300405515713,0.5840600633456708
49,54.0,17,14,2.3980298124028248,0.024325193343215236,0.5901319600133612
49,52.0,17,14,2.393196499123101,0.024595874368047634,0.588284577993711
2,41.0,17,14,2.4613957661649217,0.02460730345469898,0.5820953890883342
17,42.0,17,14,2.3972242721010235,0.0246360359109406,0.586551500288523
31,46.0,17,14,2.460280297825378,0.024640211878001965,0.5818555224694074
17,49.0,17,14,2.4227282913744905,0.024656312215174534,0.5822886037024639
49,53.0,17,14,2.389935756504872,0.02474166688486478,0.5875341122271924
60,47.0,17,14,2.462904655223751,0.024920121310505458,0.5802877642901877
44,43.0,17,14,2.4264108082421294,0.024952198232766544,0.5797752851083241
60,59.0,17,14,2.44880178717355,0.024969801084656493,0.5794898858043251
1,33.0,17,14,2.4452725459000906,0.02505017414819359,0.5789135707556621
60,31.0,17,14,2.431417607296974,0.025065548724466778,0.5788106321552361
49,46.0,17,14,2.3933437369537267,0.025148719156471735,0.5818577850254376
60,70.0,17,14,2.447885325441637,0.025163810167046663,0.5782618648407793
2,47.0,17,14,2.4429519554391,0.025432247479589498,0.5764847118637908
