channel,band,n_day,n_night,t_stat,p_value,effect_g,power,mean_day,mean_night,q_value,significant_fdr
25,alpha,17,14,0.9526628930962758,0.3501767988350464,0.3248094836612114,0.14028796445761588,0.23557650029164776,0.17857016202216705,0.8184733809152529,False
25,beta,17,14,0.4369470587057672,0.6670104386451492,0.14719445830340624,0.06801291451517777,0.10996684010559728,0.09794547954688244,0.877582340142555,False
25,gamma,17,14,0.8543716860844444,0.40000502669088855,0.2956980955877722,0.12446008664476076,0.04828894135361571,0.041807443081785765,0.8281356142478539,False
26,delta,17,14,0.04330106569917777,0.9658296528381226,0.015439274173891281,0.050196187803706396,0.3836519559343633,0.3766877883220367,0.9855584198477346,False
26,theta,17,14,0.7677948778880865,0.45015644114300557,0.2734216444834264,0.11341782567770475,0.2042244483412045,0.1695526260785351,0.8281356142478539,False
26,alpha,17,14,1.7389786350326835,0.09506673638435464,0.5920037488234298,0.35444527291850986,0.13458696822502123,0.09307316428633071,0.7733781459740232,False
26,beta,17,14,0.7046967584331308,0.4875831584339171,0.2405887439122324,0.09882295533972026,0.09169589412778094,0.07728574206572703,0.8281356142478539,False
26,gamma,17,14,1.2921511586455738,0.2065119400798192,0.4502666933598728,0.22636327846853896,0.06479670329518046,0.04832092619985253,0.8027148725641158,False
27,delta,17,14,-0.6555151585651847,0.5231232879072615,-0.24078016740872435,0.09890228202517415,0.2573750859886017,0.37098757927012876,0.8281356142478539,False
27,theta,17,14,-0.05443500014582665,0.9572675306189717,-0.01982708384249177,0.050323570921402466,0.1778599718720137,0.18044256456375246,0.9855584198477346,False
27,alpha,17,14,1.1510044708628313,0.26007629245579583,0.3947215107598533,0.18474223597918638,0.1387708129490111,0.11084067647538717,0.8111290309264919,False
27,beta,17,14,0.6633106038224756,0.5140157868761096,0.22494491151627993,0.09256700935493034,0.09036258134607114,0.07526157755326804,0.8281356142478539,False
27,gamma,17,14,0.44710300231635025,0.6583425366356854,0.1537565205040144,0.06967188784897341,0.036707112343901144,0.03436503750162794,0.8750122322373034,False
28,delta,17,14,-0.4516758086054665,0.6581940323654458,-0.16531501142513966,0.0727770668048294,0.3347506344185548,0.4111854893563808,0.8750122322373034,False
28,theta,17,14,0.10063903272569917,0.9211492897444218,0.03673571743709236,0.05111131097336642,0.20838662409393077,0.2028541540839419,0.9802771157753137,False
28,alpha,17,14,1.8004221106097555,0.08253415328878497,0.6214856600148826,0.38416657819857475,0.15855229574763646,0.1207377991866707,0.7733781459740232,False
28,beta,17,14,1.4332045775279807,0.16449630406431603,0.48887182664512846,0.2583687865587575,0.12145434455805482,0.08903458460484473,0.7733781459740232,False
28,gamma,17,14,2.882454246162683,0.009885023583054405,0.9681559639084644,0.7366066466654445,0.1107441708735104,0.04821294569482377,0.7201674970470867,False
29,delta,17,14,0.624907401223131,0.5395616730513697,0.2102518460547436,0.0870974735844106,2.44707196369671,1.3160365915714265,0.8281356142478539,False
29,theta,17,14,0.7288445303733905,0.4749258416441361,0.24545015358049782,0.10085840758919312,0.8203991398012552,0.48092601746204494,0.8281356142478539,False
29,alpha,17,14,1.4500201362113045,0.16327108196703377,0.4882889819152287,0.2578678855701127,0.30308528762987147,0.17823136823898764,0.7733781459740232,False
29,beta,17,14,1.212686689557517,0.23839791070117153,0.4107515322052167,0.1961958501962696,0.13411359577416346,0.10135308705088239,0.8027148725641158,False
29,gamma,17,14,1.710312837434937,0.10051982895142172,0.5817415415978071,0.34429804353887494,0.07672904706049961,0.053782903802285266,0.7733781459740232,False
30,delta,17,14,-1.5794016730219125,0.13825725844139525,-0.5813829810772503,0.3439455135998527,0.5374144982702563,34.96699860419266,0.7733781459740232,False
30,theta,17,14,-1.473373385039599,0.16444267028014514,-0.5423490277476336,0.30645680569906253,0.32663472945548444,9.884238636287405,0.7733781459740232,False
30,alpha,17,14,-1.2982707017255508,0.21667326435003695,-0.47780483515142413,0.24894844583503725,0.22606379625800307,1.5400669140682326,0.8027148725641158,False
30,beta,17,14,-0.98185416685666,0.33987044349789375,-0.3562531188533661,0.15916253590268092,0.16990625536626444,0.24917719702383864,0.8184733809152529,False
