channel,freq_hz,n_day,n_night,t_stat,p_value,effect_g,power,mean_day,mean_night,q_value,significant_fdr
11,61.0,17,14,0.4691777710705824,0.6424774382442677,0.1626468453950311,0.07203946834890596,0.0301843108124415,0.027981360325905442,0.7717132593923011,False
11,62.0,17,14,0.468613823115482,0.6428856490696624,0.1623360557919444,0.0719543656378178,0.03001840446804335,0.02781185660993937,0.7720032760396768,False
11,63.0,17,14,0.46842732604069653,0.6430297128600324,0.16214865830823202,0.07190313301861892,0.029859679490727223,0.027641562868335058,0.7720032760396768,False
11,64.0,17,14,0.4666698856046726,0.6442838753898441,0.16143298704192502,0.0717080427294681,0.029696461337989775,0.027470788351186014,0.7728271229105257,False
11,65.0,17,14,0.461489062898919,0.6479603133211878,0.1595650613539642,0.07120308316965429,0.029518362543760196,0.02730105062791687,0.7749691455004238,False
11,66.0,17,14,0.45215201650428705,0.6545971133376631,0.15629422871712428,0.07033359652215958,0.029321631155413117,0.02713460430756709,0.7797611560439192,False
11,67.0,17,14,0.4394781138421756,0.6636468532711044,0.1518922903198164,0.06919295417306134,0.029110942341132012,0.02697335648495645,0.7853440104452609,False
11,68.0,17,14,0.42544935664488265,0.6737236698811777,0.14702650205092807,0.06797143712254933,0.02889664689636189,0.02681793961367542,0.7936695320014121,False
11,69.0,17,14,0.41222770730808456,0.683279239213137,0.14242898380029118,0.06685509358532771,0.02868928448465519,0.026667658152634034,0.8001225291901047,False
11,70.0,17,14,0.40107640528741173,0.6913837113333052,0.13852896286355482,0.06593684624504062,0.028494657398419415,0.026521568773750618,0.8037289728140182,False
11,71.0,17,14,0.3916673820327657,0.6982549205984797,0.13521484949344303,0.06517722827785116,0.028311830408348945,0.02638014045990377,0.8078982552379104,False
11,72.0,17,14,0.38208090159891306,0.7052838912511292,0.13183377462039844,0.0644217998405119,0.02813421482982097,0.02624617098382458,0.8130445589903228,False
11,73.0,17,14,0.36958824443975924,0.7144789474804312,0.12745900103557026,0.06347357043524293,0.027952352676859017,0.026123516346486936,0.8187753286269607,False
11,74.0,17,14,0.35201724282448077,0.7274775922712704,0.12135465756453928,0.06220539474534986,0.027756615810536605,0.026013070713394752,0.8265299966292161,False
11,75.0,17,14,0.32911712970925194,0.7445356026301635,0.1134392524592793,0.06065593727543733,0.027538007135988318,0.025907024356366815,0.8376025529589339,False
11,76.0,17,14,0.30310870268363843,0.7640655987449464,0.1044731764980315,0.05902977942742828,0.02728559603130712,0.025783843076680645,0.8500538308329945,False
